cityLabel,countryLabel,population
Bignona,Senegal,25477
Agaro,Ethiopia,25458
Nyanza,Rwanda,25417
Bure,Ethiopia,25084
Zaouiet Sousse,Tunisia,25000
Kobo,Ethiopia,24867
Tepi,Ethiopia,24829
Victoria,Seychelles,24701
Kaga-Bandoro,Central African Republic,24661
Qutur,Egypt,24518
Durame,Ethiopia,24472
El-Quseir,Egypt,24344
Kariba,Zimbabwe,24210
Atar,Mauritania,24021
Balaka Township,Malawi,24000
Pout,Senegal,23728
Bafilo,Togo,23627
Diamniadio,Senegal,23547
Kafr Shokr,Egypt,23390
Triolet,Mauritius,23386
Bassar,Togo,23181
Fatick,Senegal,23149
Kibaha,Tanzania,23050
Niamtougou,Togo,22986
Quartier-Militaire,Mauritius,22745
Keta,Ghana,22739
Tabou,Ivory Coast,22733
Sidi Ifni,Morocco,22696
Kafr Saad,Egypt,22500
Sibut,Central African Republic,22419
Bignona,Senegal,22237
Sharuna,Egypt,22221
Mbaïki,Central African Republic,22166
Aleta Wendo,Ethiopia,22093
Qift,Egypt,22063
Ruwa,Zimbabwe,22038
Ghat,Libya,22000
Fayed,Egypt,21808
Kayanza,Burundi,21767
Eyl,Somalia,21700
Naqada,Egypt,21530
